Grafo,Representacao,Dijkstra_Tipo,Status,Vertices,Arestas,Grau_Minimo,Grau_Maximo,Grau_Medio,Grau_Mediana,Tempo_Medio_Dijkstra_ms,Dist_10_20,Dist_10_30,Dist_10_40,Dist_10_50,Dist_10_60,Caminho_10_20,Caminho_10_30,Caminho_10_40,Caminho_10_50,Caminho_10_60
grafo_W_1.txt.gz,lista,Heap,Sucesso,10000.0,209957.0,20.0,68.0,41.9914,42.0,4.48,2.379999876022339,1.7200000286102295,2.049999952316284,1.1999999284744263,1.6600000858306885,"[10, 2038, 5094, 2875, 4746, 8892, 3578, 2502, 4627, 4252, 9853, 9285, 1034, 20]","[10, 2038, 2658, 682, 4045, 30]","[10, 2038, 2658, 682, 5941, 6759, 2195, 1223, 40]","[10, 2038, 7521, 2258, 3235, 8078, 2532, 2527, 50]","[10, 2038, 5094, 2875, 3598, 1268, 4333, 3383, 8182, 4328, 9082, 60]"
grafo_W_1.txt.gz,lista,Vetor,Sucesso,10000.0,209957.0,20.0,68.0,41.9914,42.0,173.58,2.379999876022339,1.7200000286102295,2.049999952316284,1.1999999284744263,1.6600000858306885,"[10, 2038, 5094, 2875, 4746, 8892, 3578, 2502, 4627, 4252, 9853, 9285, 1034, 20]","[10, 2038, 2658, 682, 4045, 30]","[10, 2038, 2658, 682, 5941, 6759, 2195, 1223, 40]","[10, 2038, 7521, 2258, 3235, 8078, 2532, 2527, 50]","[10, 2038, 5094, 2875, 3598, 1268, 4333, 3383, 8182, 4328, 9082, 60]"
grafo_W_1.txt.gz,matriz,Heap,Sucesso,10000.0,209957.0,20.0,68.0,41.9914,42.0,63.21,2.379999876022339,1.7200000286102295,2.049999952316284,1.1999999284744263,1.6600000858306885,"[10, 2038, 5094, 2875, 4746, 8892, 3578, 2502, 4627, 4252, 9853, 9285, 1034, 20]","[10, 2038, 2658, 682, 4045, 30]","[10, 2038, 2658, 682, 5941, 6759, 2195, 1223, 40]","[10, 2038, 7521, 2258, 3235, 8078, 2532, 2527, 50]","[10, 2038, 5094, 2875, 3598, 1268, 4333, 3383, 8182, 4328, 9082, 60]"
grafo_W_1.txt.gz,matriz,Vetor,Sucesso,10000.0,209957.0,20.0,68.0,41.9914,42.0,227.01,2.379999876022339,1.7200000286102295,2.049999952316284,1.1999999284744263,1.6600000858306885,"[10, 2038, 5094, 2875, 4746, 8892, 3578, 2502, 4627, 4252, 9853, 9285, 1034, 20]","[10, 2038, 2658, 682, 4045, 30]","[10, 2038, 2658, 682, 5941, 6759, 2195, 1223, 40]","[10, 2038, 7521, 2258, 3235, 8078, 2532, 2527, 50]","[10, 2038, 5094, 2875, 3598, 1268, 4333, 3383, 8182, 4328, 9082, 60]"
grafo_W_2.txt.gz,lista,Heap,Sucesso,25000.0,824937.0,34.0,102.0,65.99496,66.0,15.8,1.809999942779541,1.71999990940094,1.9199999570846558,1.5699998140335083,1.5800000429153442,"[10, 20401, 10525, 15491, 15369, 18571, 1573, 3448, 8238, 3358, 13344, 9448, 23467, 3907, 20]","[10, 22754, 23713, 16217, 8863, 12125, 17348, 22569, 8688, 30]","[10, 22754, 23713, 3461, 23673, 23726, 18966, 12308, 6984, 11469, 40]","[10, 22754, 23713, 16217, 8863, 627, 23978, 14272, 3594, 24811, 24612, 14607, 50]","[10, 22754, 13268, 9146, 5521, 20167, 10684, 1848, 7009, 10430, 60]"
grafo_W_2.txt.gz,lista,Vetor,Sucesso,25000.0,824937.0,34.0,102.0,65.99496,66.0,1476.89,1.809999942779541,1.71999990940094,1.9199999570846558,1.5699998140335083,1.5800000429153442,"[10, 20401, 10525, 15491, 15369, 18571, 1573, 3448, 8238, 3358, 13344, 9448, 23467, 3907, 20]","[10, 22754, 23713, 16217, 8863, 12125, 17348, 22569, 8688, 30]","[10, 22754, 23713, 3461, 23673, 23726, 18966, 12308, 6984, 11469, 40]","[10, 22754, 23713, 16217, 8863, 627, 23978, 14272, 3594, 24811, 24612, 14607, 50]","[10, 22754, 13268, 9146, 5521, 20167, 10684, 1848, 7009, 10430, 60]"
grafo_W_2.txt.gz,matriz,Heap,Sucesso,25000.0,824937.0,34.0,102.0,65.99496,66.0,365.05,1.809999942779541,1.71999990940094,1.9199999570846558,1.5699998140335083,1.5800000429153442,"[10, 20401, 10525, 15491, 15369, 18571, 1573, 3448, 8238, 3358, 13344, 9448, 23467, 3907, 20]","[10, 22754, 23713, 16217, 8863, 12125, 17348, 22569, 8688, 30]","[10, 22754, 23713, 3461, 23673, 23726, 18966, 12308, 6984, 11469, 40]","[10, 22754, 23713, 16217, 8863, 627, 23978, 14272, 3594, 24811, 24612, 14607, 50]","[10, 22754, 13268, 9146, 5521, 20167, 10684, 1848, 7009, 10430, 60]"
grafo_W_2.txt.gz,matriz,Vetor,Sucesso,25000.0,824937.0,34.0,102.0,65.99496,66.0,1817.52,1.809999942779541,1.71999990940094,1.9199999570846558,1.5699998140335083,1.5800000429153442,"[10, 20401, 10525, 15491, 15369, 18571, 1573, 3448, 8238, 3358, 13344, 9448, 23467, 3907, 20]","[10, 22754, 23713, 16217, 8863, 12125, 17348, 22569, 8688, 30]","[10, 22754, 23713, 3461, 23673, 23726, 18966, 12308, 6984, 11469, 40]","[10, 22754, 23713, 16217, 8863, 627, 23978, 14272, 3594, 24811, 24612, 14607, 50]","[10, 22754, 13268, 9146, 5521, 20167, 10684, 1848, 7009, 10430, 60]"
