Grafo,Representacao,Status,Vertices,Arestas,Grau_Minimo,Grau_Maximo,Grau_Medio,Grau_Mediana,Memoria_MB,Tempo_BFS_ms,Tempo_DFS_ms,CC_Quantidade,CC_Maior,CC_Menor,Diametro,Dist_10_20,Dist_10_30,Dist_20_30,Pai_BFS_S1_V10,Pai_BFS_S1_V20,Pai_BFS_S1_V30,Pai_BFS_S2_V10,Pai_BFS_S2_V20,Pai_BFS_S2_V30,Pai_BFS_S3_V10,Pai_BFS_S3_V20,Pai_BFS_S3_V30,Pai_DFS_S1_V10,Pai_DFS_S1_V20,Pai_DFS_S1_V30,Pai_DFS_S2_V10,Pai_DFS_S2_V20,Pai_DFS_S2_V30,Pai_DFS_S3_V10,Pai_DFS_S3_V20,Pai_DFS_S3_V30
grafo_1.txt.gz,lista,Sucesso,10000.0,109925.0,8.0,43.0,21.985,22.0,1.4013290405273438,0.36,1.23,1,10000,10000,4,3,3,4,2042,8382,8979,8935,7541,8660,7685,9429,5783,8308,5654,2394,2383,2193,2394,2383,9543,2394
grafo_2.txt.gz,lista,Sucesso,49948.0,1298775.0,1.0,112.0,52.00508528870025,55.0,16.72643280029297,2.89,7.02,10,25000,48,-1,-1,-1,3,0,0,0,31751,0,0,0,46738,18855,0,0,0,28521,0,0,0,15591,15468
grafo_3.txt.gz,lista,Sucesso,375000.0,765616.0,1.0,15.0,4.083285333333333,4.0,15.975391387939453,12.67,36.42,2,250000,125000,-1,9,-1,-1,0,0,141597,158403,75471,0,158403,319691,0,0,0,141597,360502,319691,0,360502,319691,0
grafo_4.txt.gz,lista,Sucesso,375000.0,8187021.0,9.0,89.0,43.664112,47.0,89.4386215209961,59.06,86.02,2,250000,125000,-1,4,3,4,194465,274921,136244,0,0,0,0,0,0,112749,28841,363900,0,0,0,0,0,0
grafo_5.txt.gz,lista,Sucesso,4843750.0,13168918.0,1.0,22.0,5.437488722580645,5.0,242.54730224609375,193.0,520.63,5,2500000,156250,-1,-1,9,-1,1888350,0,2502539,0,0,0,3696745,0,191713,1928249,0,4692602,0,0,0,1928249,0,191713
grafo_6.txt.gz,lista,Sucesso,4843750.0,46469522.0,2.0,56.0,19.187415535483872,20.0,589.2165756225586,767.98,804.15,5,2500000,156250,-1,5,5,5,0,0,0,1677854,4095628,4231681,0,0,0,0,0,0,3170338,1521140,3458362,0,0,0
