Grafo,Representacao,Status,Vertices,Arestas,Grau_Minimo,Grau_Maximo,Grau_Medio,Grau_Mediana,Memoria_MB,Tempo_BFS_ms,Tempo_DFS_ms,CC_Quantidade,CC_Maior,CC_Menor,Diametro,Dist_10_20,Dist_10_30,Dist_20_30,Pai_BFS_S1_V10,Pai_BFS_S1_V20,Pai_BFS_S1_V30,Pai_BFS_S2_V10,Pai_BFS_S2_V20,Pai_BFS_S2_V30,Pai_BFS_S3_V10,Pai_BFS_S3_V20,Pai_BFS_S3_V30,Pai_DFS_S1_V10,Pai_DFS_S1_V20,Pai_DFS_S1_V30,Pai_DFS_S2_V10,Pai_DFS_S2_V20,Pai_DFS_S2_V30,Pai_DFS_S3_V10,Pai_DFS_S3_V20,Pai_DFS_S3_V30
grafo_1.txt.gz,matriz,Sucesso,10000.0,109925.0,8.0,43.0,21.9846,22.0,382.3472137451172,75.68,69.5,1,10000,10000,4,3,3,4,2042,8382,2394,8935,9071,3555,7685,9543,5783,709,666,86,709,666,86,709,666,86
grafo_2.txt.gz,matriz,Sucesso,49948.0,1298775.0,1.0,112.0,52.0037839352927,55.0,9519.01301574707,609.73,560.09,10,25000,48,-1,-1,-1,3,0,0,0,1351,0,0,0,46738,12999,0,0,0,3946,0,0,0,217,3513
